EntryNum	Timestamp	nodeType	CompleteNode	Core	Bank	Syndrome	Type	Addr	Socket	Apic	err_CPU_bit	scrub	L3_low	L3_high	ucc	ecc	pcc	miscInfo	ue	over	Date	weeknumber
920	1349586037	service	c1-3c2s7n1	0	4	-1	NB Array Error	1eac4	1	20	0	1	1	0	0	1	0	1	0	0	2012-10-07 00:00:37	41
921	1349586209	service	c1-3c2s7n1	16	4	-1	NB Array Error	1eac4	1	20	0	1	1	0	0	1	0	1	0	0	2012-10-07 00:03:29	41
922	1349586254	compute	c0-11c2s3n1	8	4	-1	NB Array Error	42e48e980	1	28	100	0	0	1	0	1	0	1	0	1	2012-10-07 00:04:14	41
923	1349586254	compute	c19-6c1s6n3	24	4	 Chipkill ECC syndrome = 2080	ECC Error	ca20a4190	1	28	0	1	0	0	0	1	0	1	0	1	2012-10-07 00:04:14	41
924	1349586381	service	c1-3c2s7n1	0	4	-1	NB Array Error	1eac4	1	20	0	1	1	0	0	1	0	1	0	0	2012-10-07 00:06:21	41
925	1349586387	compute	c0-11c2s3n1	8	4	-1	NB Array Error	257f93980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-07 00:06:27	41
926	1349586387	compute	c0-11c2s3n1	8	4	-1	NB Array Error	bf0db0980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-07 00:06:27	41
927	1349586387	compute	c0-11c2s3n1	0	4	-1	NB Array Error	bf754c980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-07 00:06:27	41
928	1349586388	compute	c0-11c2s3n1	0	4	-1	NB Array Error	257f93980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-07 00:06:28	41
929	1349586388	compute	c0-11c2s3n1	8	4	-1	NB Array Error	beb98e980	0	8	0	0	0	1	0	1	0	1	0	1	2012-10-07 00:06:28	41
930	1349586388	compute	c18-8c0s3n3	8	4	 Chipkill ECC syndrome = c602	ECC Error	4a59a02a0	0	0	0	1	0	0	0	1	0	1	0	0	2012-10-07 00:06:28	41
